process_data_ms,total_processing_ms,full_loop_ms,full_time,accuracy
14.009,6.796,2.437,44.775,0
12.993,6.969,3.235,43.915,0
16.68,7.411,3.116,45.018,0
14.393,5.015,2.403,50.682,0
14.865,4.872,3.58,41.675,0
16.635,7.903,5.079,43.627,0
18.261,5.62,3.922,50.924,0
26.451,6.48,6.917,39.792,0
7.687,7.302,3.433,52.508,0
12.708,5.42,5.799,37.03,0
20.043,5.882,4.419,41.201,0
14.716,4.76,2.337,40.439,0
16.512,5.576,3.632,45.384,0
18.514,4.778,2.481,39.97,0
11.118,7.801,3.101,40.041,0
13.548,7.859,3.618,37.081,0
13.145,7.41,6.024,42.722,0
16.735,5.55,2.296,44.238,0
20.07,8.377,11.086,34.982,0
20.048,7.06,4.143,52.992,0
15.71,8.176,2.838,49.212,0
15.626,5.267,3.37,41.934,0
13.999,5.365,6.294,41.245,0
12.687,7.697,7.142,36.397,0
15.387,9.118,3.394,37.417,0
13.443,5.247,8.62,41.496,0
8.388,3.893,1.789,37.612,0
6.499,3.204,2.862,20.379,0
10.683,6.876,6.185,16.591,0
35.269,6.958,3.751,30.151,0
23.358,5.016,2.797,54.082,0
17.513,4.721,4.026,53.485,0
23.027,5.582,4.091,46.204,0
18.031,4.615,3.657,54.23,0
16.031,6.284,2.65,53.608,0
26.561,4.764,2.633,44.495,0
11.603,7.851,2.531,50.068,0
15.358,5.398,4.769,37.918,0
11.111,6.657,3.286,35.105,0
23.59,5.99,3.59,30.475,0
17.099,5.477,2.919,41.012,1
19.67,5.113,2.899,42.183,0
10.711,6.096,4.682,41.625,0
11.278,5.124,2.227,34.518,0
14.365,6.003,3.651,30.713,0
12.335,4.801,2.756,38.727,0
15.327,5.329,2.626,35.171,0
18.007,5.967,2.309,34.045,0
24.023,4.862,3.363,37.874,0
17.504,4.483,2.877,45.96,0
27.883,5.391,3.371,45.575,0
22.979,4.491,2.765,58.357,0
18.406,4.727,3.478,52.512,0
23.915,5.085,3.972,42.064,1
10.538,5.146,5.137,49.009,0
17.926,5.054,6.353,37.796,1
17.241,5.279,4.196,44.285,0
11.442,6.969,5.448,43.378,0
18.269,8.305,8.78,37.424,0
15.485,9.817,5.718,51.954,0
9.315,5.086,7.881,48.403,0
17.833,10.88,3.909,38.521,0
12.336,4.879,7.172,47.163,0
15.942,5.778,10.158,35.652,0
